Air Density [kg/m3]	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	49	52	54	57	60	63	65	68	71	74	76	79	82
3.5	148	154	159	164	169	174	180	185	190	195	201	206	211
4	283	292	300	309	317	326	335	343	352	360	369	377	386
4.5	452	465	477	490	503	516	529	541	554	567	580	593	605
5	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	891	915	939	962	986	1010	1033	1057	1081	1104	1128	1152	1175
6	1137	1167	1197	1227	1256	1286	1316	1346	1376	1405	1435	1465	1495
6.5	1374	1410	1446	1482	1517	1553	1589	1624	1660	1695	1731	1767	1802
7	1591	1632	1673	1714	1755	1796	1837	1878	1919	1960	2001	2042	2082
7.5	1792	1838	1884	1930	1976	2022	2068	2114	2159	2205	2251	2297	2344
8	1983	2034	2084	2135	2186	2237	2287	2337	2388	2439	2490	2536	2577
8.5	2162	2217	2272	2327	2382	2437	2492	2547	2596	2640	2683	2720	2750
9	2330	2390	2449	2508	2566	2623	2669	2715	2753	2787	2819	2846	2866
9.5	2494	2555	2616	2670	2717	2763	2798	2834	2862	2885	2908	2925	2936
10	2646	2697	2747	2788	2825	2861	2885	2911	2929	2943	2956	2963	2965
10.5	2762	2802	2841	2872	2898	2923	2938	2955	2962	2966	2969	2970	2970
11	2848	2877	2905	2927	2944	2959	2963	2970	2970	2970	2970	2970	2970
11.5	2910	2929	2947	2958	2965	2970	2970	2970	2970	2970	2970	2970	2970
12	2949	2958	2967	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
12.5	2969	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
13	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
13.5	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
14	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
14.5	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
15	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
15.5	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
16	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
16.5	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
17	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
17.5	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
18	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
18.5	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
19	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
19.5	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
20	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970	2970
