Air Density [kg/m3]	0.9	0.925	0.95	0.975	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	38	41	43	46	49	52	54	57	60	63	65	68	71	74	76	79	82
3.5	127	133	138	143	148	154	159	164	169	174	180	185	190	195	201	206	211
4	249	257	266	274	283	292	300	309	317	326	335	343	352	360	369	378	386
4.5	401	413	426	439	452	465	477	490	503	516	529	541	554	567	580	593	605
5	583	601	619	637	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	800	824	848	872	896	919	943	967	991	1015	1039	1062	1086	1110	1134	1158	1181
6	1057	1088	1119	1150	1181	1212	1242	1273	1304	1335	1366	1397	1428	1459	1489	1520	1551
6.5	1359	1398	1437	1477	1516	1555	1594	1633	1672	1712	1751	1790	1829	1868	1907	1946	1985
7	1711	1759	1808	1857	1906	1955	2004	2052	2101	2150	2198	2247	2296	2344	2393	2442	2490
7.5	2108	2168	2228	2288	2347	2407	2467	2526	2586	2645	2705	2764	2824	2883	2942	3002	3061
8	2527	2598	2669	2741	2812	2883	2954	3025	3095	3166	3237	3308	3379	3449	3520	3591	3661
8.5	2944	3027	3109	3192	3274	3356	3438	3521	3603	3685	3767	3849	3931	4013	4095	4176	4258
9	3345	3438	3531	3625	3718	3811	3904	3997	4090	4183	4276	4369	4461	4552	4643	4734	4807
9.5	3719	3823	3926	4030	4133	4236	4339	4443	4546	4646	4746	4845	4930	5007	5083	5160	5216
10	4070	4183	4296	4408	4522	4636	4745	4851	4958	5043	5126	5206	5275	5336	5395	5456	5497
10.5	4407	4529	4652	4773	4886	4999	5095	5182	5269	5338	5403	5466	5519	5563	5606	5651	5676
11	4733	4864	4982	5095	5187	5279	5357	5426	5495	5547	5595	5641	5678	5706	5733	5763	5772
11.5	5031	5151	5248	5340	5414	5488	5548	5599	5651	5686	5717	5747	5767	5779	5790	5800	5800
12	5273	5374	5452	5525	5581	5637	5679	5713	5748	5766	5781	5794	5800	5800	5800	5800	5800
12.5	5462	5544	5604	5658	5696	5735	5760	5777	5795	5799	5800	5799	5800	5800	5800	5800	5800
13	5603	5667	5708	5745	5766	5788	5797	5798	5800	5800	5800	5800	5800	5800	5800	5800	5800
13.5	5703	5748	5772	5792	5796	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
14	5764	5791	5798	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
14.5	5792	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
15	5799	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
15.5	5799	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
16	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
16.5	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
17	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
17.5	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
18	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
18.5	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
19	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
19.5	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
20	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800	5800
