Air Density [kg/m3]	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	49	52	54	57	60	63	65	68	71	74	76	79	82
3.5	148	154	159	164	169	174	180	185	190	195	201	206	211
4	283	292	300	309	317	326	335	343	352	360	369	378	386
4.5	452	465	477	490	503	516	529	541	554	567	580	593	605
5	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	896	919	943	967	991	1015	1039	1062	1086	1110	1134	1157	1181
6	1171	1202	1232	1263	1294	1324	1355	1385	1416	1447	1477	1508	1538
6.5	1454	1492	1530	1567	1605	1643	1680	1718	1756	1793	1831	1868	1906
7	1727	1772	1816	1861	1905	1949	1994	2038	2082	2127	2171	2215	2259
7.5	1978	2029	2079	2130	2180	2231	2281	2332	2382	2433	2483	2534	2584
8	2212	2268	2324	2380	2437	2493	2549	2605	2662	2718	2774	2830	2886
8.5	2437	2499	2560	2622	2684	2746	2808	2869	2931	2992	3054	3116	3169
9	2647	2714	2781	2847	2914	2981	3048	3114	3180	3240	3291	3343	3385
9.5	2843	2915	2987	3059	3130	3200	3269	3324	3379	3426	3466	3506	3536
10	3033	3110	3185	3257	3325	3382	3438	3480	3523	3558	3587	3615	3635
10.5	3215	3290	3357	3415	3470	3514	3558	3589	3620	3644	3662	3679	3688
11	3368	3429	3483	3529	3571	3604	3636	3655	3675	3688	3694	3700	3700
11.5	3484	3533	3575	3608	3639	3660	3680	3689	3697	3700	3700	3700	3700
12	3573	3609	3639	3662	3681	3690	3699	3700	3700	3700	3700	3700	3700
12.5	3637	3662	3680	3691	3699	3699	3700	3700	3700	3700	3700	3700	3700
13	3677	3691	3699	3700	3700	3699	3700	3700	3700	3700	3700	3700	3700
13.5	3697	3700	3700	3700	3700	3699	3700	3700	3700	3700	3700	3700	3700
14	3700	3700	3700	3700	3700	3699	3700	3700	3700	3700	3700	3700	3700
14.5	3700	3700	3700	3700	3700	3699	3700	3700	3700	3700	3700	3700	3700
15	3700	3700	3700	3700	3700	3699	3700	3700	3700	3700	3700	3700	3700
15.5	3700	3700	3700	3700	3700	3699	3700	3700	3700	3700	3700	3700	3700
16	3700	3700	3700	3700	3700	3699	3700	3700	3700	3700	3700	3700	3700
16.5	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700
17	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700
17.5	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700
18	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700
18.5	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700
19	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700
19.5	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700
20	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700	3700
