Air Density [kg/m3]	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	49	52	54	57	60	62	65	68	71	73	76	79	82
3.5	148	154	159	164	169	174	180	185	190	195	201	206	211
4	283	292	300	309	317	326	335	343	352	360	369	378	386
4.5	452	465	477	490	503	516	529	541	554	567	580	593	605
5	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	896	920	943	967	991	1015	1039	1063	1086	1110	1134	1158	1182
6	1177	1207	1238	1269	1300	1331	1361	1392	1423	1454	1484	1515	1546
6.5	1473	1511	1549	1588	1626	1664	1702	1740	1778	1816	1854	1892	1930
7	1764	1809	1854	1900	1945	1990	2035	2081	2126	2171	2216	2261	2307
7.5	2034	2086	2138	2190	2242	2293	2345	2397	2449	2501	2553	2604	2656
8	2283	2341	2399	2457	2515	2573	2631	2689	2747	2805	2863	2920	2978
8.5	2521	2585	2649	2713	2776	2840	2904	2968	3031	3095	3159	3222	3286
9	2746	2815	2885	2954	3023	3093	3162	3232	3300	3368	3431	3484	3538
9.5	2958	3033	3107	3182	3257	3331	3403	3474	3530	3586	3637	3678	3719
10	3159	3239	3320	3397	3472	3544	3601	3658	3702	3746	3784	3813	3842
10.5	3357	3437	3515	3584	3645	3703	3747	3792	3824	3855	3882	3900	3917
11	3535	3603	3667	3721	3770	3815	3847	3879	3900	3919	3935	3941	3946
11.5	3673	3727	3778	3820	3856	3888	3909	3930	3938	3946	3950	3950	3950
12	3779	3820	3858	3888	3912	3932	3941	3950	3950	3950	3950	3950	3950
12.5	3856	3885	3911	3928	3941	3950	3950	3950	3950	3950	3950	3950	3950
13	3910	3927	3941	3947	3950	3950	3950	3950	3950	3950	3950	3950	3950
13.5	3941	3947	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
14	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
14.5	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
15	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
15.5	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
16	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
16.5	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
17	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
17.5	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
18	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
18.5	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
19	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
19.5	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
20	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950	3950
