Air Density [kg/m3]	0.9	0.925	0.95	0.975	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	38	41	43	46	49	52	54	57	60	63	65	68	71	74	76	79	82
3.5	127	133	138	143	148	154	159	164	169	174	180	185	190	195	201	206	211
4	249	257	266	274	283	292	300	309	317	326	335	343	352	360	369	378	386
4.5	401	413	426	439	452	465	477	490	503	516	529	541	554	567	580	593	605
5	583	601	619	637	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	800	824	848	872	896	919	943	967	991	1015	1039	1062	1086	1110	1134	1158	1181
6	1057	1088	1119	1150	1181	1212	1242	1273	1304	1335	1366	1397	1428	1458	1489	1520	1551
6.5	1359	1398	1437	1477	1516	1555	1594	1633	1673	1712	1751	1790	1829	1868	1907	1946	1985
7	1709	1758	1807	1856	1904	1953	2002	2051	2099	2148	2197	2245	2294	2343	2391	2440	2488
7.5	2091	2150	2209	2269	2328	2387	2446	2505	2564	2623	2683	2742	2801	2859	2918	2977	3036
8	2477	2547	2617	2686	2756	2826	2896	2965	3035	3104	3174	3243	3312	3382	3451	3521	3590
8.5	2853	2933	3013	3093	3172	3252	3332	3412	3491	3571	3651	3730	3810	3889	3969	4048	4127
9	3204	3294	3384	3473	3562	3652	3741	3830	3919	4008	4098	4187	4276	4364	4452	4539	4626
9.5	3532	3630	3728	3827	3925	4023	4121	4219	4318	4416	4511	4606	4700	4781	4854	4925	4998
10	3844	3951	4058	4165	4271	4378	4486	4588	4689	4790	4870	4947	5024	5088	5145	5201	5259
10.5	4146	4261	4376	4491	4607	4714	4820	4908	4990	5073	5136	5198	5258	5307	5348	5388	5430
11	4431	4554	4678	4793	4903	4992	5079	5148	5213	5279	5326	5372	5416	5449	5476	5501	5528
11.5	4705	4828	4943	5040	5131	5202	5273	5325	5373	5423	5454	5484	5512	5530	5541	5550	5560
12	4950	5057	5152	5231	5304	5359	5412	5448	5480	5514	5529	5543	5555	5560	5560	5559	5560
12.5	5147	5235	5311	5373	5428	5466	5503	5523	5539	5557	5559	5560	5560	5560	5560	5560	5560
13	5297	5367	5426	5470	5509	5531	5552	5556	5558	5560	5560	5560	5560	5560	5560	5560	5560
13.5	5406	5459	5501	5528	5551	5557	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
14	5482	5518	5543	5555	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
14.5	5532	5551	5559	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
15	5555	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
15.5	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
16	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
16.5	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
17	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
17.5	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
18	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
18.5	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
19	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
19.5	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
20	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560	5560
