Air Density [kg/m3]	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	49	52	54	57	60	63	65	68	71	74	76	79	82
3.5	148	154	159	164	169	174	180	185	190	195	201	206	211
4	283	292	300	309	317	326	335	343	352	360	369	378	386
4.5	452	465	477	490	503	516	529	541	554	567	580	593	605
5	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	895	919	943	967	991	1014	1038	1062	1086	1110	1133	1157	1181
6	1163	1193	1224	1254	1285	1315	1346	1376	1406	1437	1467	1498	1528
6.5	1432	1469	1506	1543	1580	1617	1655	1692	1729	1766	1803	1840	1877
7	1686	1730	1773	1816	1860	1903	1946	1990	2033	2076	2119	2163	2206
7.5	1919	1968	2017	2066	2115	2164	2213	2262	2311	2360	2409	2458	2507
8	2137	2192	2246	2301	2355	2410	2464	2518	2573	2627	2681	2736	2791
8.5	2345	2405	2464	2524	2583	2643	2702	2762	2821	2881	2937	2986	3033
9	2540	2605	2669	2733	2798	2862	2925	2989	3039	3089	3135	3173	3208
9.5	2725	2794	2863	2931	2998	3060	3112	3163	3202	3240	3275	3302	3326
10	2905	2974	3044	3103	3158	3208	3248	3288	3315	3343	3366	3383	3397
10.5	3071	3127	3184	3231	3273	3312	3340	3369	3386	3403	3416	3422	3426
11	3196	3241	3285	3321	3352	3379	3397	3415	3421	3427	3430	3430	3430
11.5	3290	3323	3356	3380	3400	3417	3424	3430	3430	3430	3430	3430	3430
12	3358	3380	3402	3415	3424	3430	3430	3430	3430	3430	3430	3430	3430
12.5	3403	3414	3425	3429	3430	3430	3430	3430	3430	3430	3430	3430	3430
13	3427	3429	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
13.5	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
14	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
14.5	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
15	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
15.5	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
16	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
16.5	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
17	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
17.5	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
18	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
18.5	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
19	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
19.5	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
20	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430	3430
