Air Density [kg/m3]	0.9	0.925	0.95	0.975	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	38	41	43	46	49	52	54	57	60	63	65	68	71	74	76	79	82
3.5	127	133	138	143	148	154	159	164	169	174	180	185	190	195	201	206	211
4	249	257	266	274	283	292	300	309	317	326	335	343	352	360	369	378	386
4.5	401	413	426	439	452	465	477	490	503	516	529	541	554	567	580	593	605
5	583	601	619	637	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	800	824	848	872	896	919	943	967	991	1015	1039	1062	1086	1110	1134	1158	1181
6	1057	1088	1119	1150	1181	1212	1243	1274	1305	1335	1366	1397	1428	1459	1490	1520	1551
6.5	1355	1395	1434	1473	1512	1551	1590	1629	1668	1707	1746	1785	1824	1863	1902	1941	1980
7	1673	1721	1768	1816	1864	1912	1960	2007	2055	2103	2150	2198	2246	2293	2341	2389	2436
7.5	1988	2044	2100	2157	2213	2270	2326	2382	2439	2495	2551	2607	2664	2720	2776	2832	2888
8	2285	2349	2414	2478	2543	2607	2672	2736	2801	2865	2929	2993	3058	3122	3186	3250	3314
8.5	2559	2631	2703	2775	2847	2919	2991	3063	3135	3206	3278	3350	3421	3493	3565	3636	3708
9	2819	2898	2977	3056	3135	3214	3293	3372	3450	3529	3608	3686	3765	3844	3922	4001	4078
9.5	3068	3154	3240	3326	3412	3497	3583	3669	3754	3839	3925	4011	4096	4179	4262	4342	4406
10	3304	3397	3489	3581	3673	3765	3857	3949	4041	4133	4225	4312	4399	4468	4535	4600	4651
10.5	3527	3625	3724	3822	3920	4018	4116	4215	4311	4402	4490	4559	4633	4686	4739	4790	4826
11	3741	3845	3949	4053	4156	4261	4364	4458	4546	4620	4691	4746	4805	4844	4883	4920	4943
11.5	3950	4060	4169	4279	4386	4483	4575	4653	4723	4783	4839	4880	4923	4949	4975	4999	5008
12	4155	4271	4386	4486	4580	4659	4734	4797	4852	4897	4939	4966	4996	5008	5020	5030	5030
12.5	4356	4466	4568	4650	4728	4792	4853	4900	4941	4971	5000	5012	5029	5029	5030	5030	5030
13	4534	4627	4712	4779	4842	4891	4936	4969	4996	5013	5027	5028	5030	5030	5030	5030	5030
13.5	4680	4757	4826	4878	4926	4960	4992	5011	5024	5028	5030	5030	5030	5030	5030	5030	5030
14	4797	4860	4914	4951	4984	5005	5023	5028	5030	5030	5030	5030	5030	5030	5030	5030	5030
14.5	4889	4938	4976	5000	5019	5026	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
15	4956	4991	5015	5024	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
15.5	5000	5020	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
16	5023	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
16.5	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
17	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
17.5	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
18	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
18.5	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
19	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
19.5	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
20	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030	5030
