Air Density [kg/m3]	0.9	0.925	0.95	0.975	1	1.025	1.05	1.075	1.1	1.125	1.15	1.175	1.2	1.225	1.25	1.275	1.3
3	38	41	43	46	49	52	54	57	60	63	65	68	71	74	76	79	82
3.5	127	133	138	143	148	154	159	164	169	174	180	185	190	195	201	206	211
4	249	257	266	274	283	292	300	309	317	326	335	343	352	360	369	378	386
4.5	401	413	426	439	452	465	477	490	503	516	529	541	554	567	580	593	605
5	583	601	619	637	655	673	690	708	726	744	762	780	797	815	833	851	869
5.5	800	824	848	872	896	919	943	967	991	1015	1039	1062	1086	1110	1134	1158	1181
6	1057	1088	1119	1150	1181	1212	1242	1273	1304	1335	1366	1397	1428	1458	1489	1520	1551
6.5	1359	1398	1437	1477	1516	1555	1594	1633	1673	1712	1751	1790	1829	1868	1907	1946	1985
7	1710	1759	1808	1857	1905	1954	2003	2052	2101	2149	2198	2247	2295	2344	2393	2441	2490
7.5	2114	2174	2234	2294	2354	2414	2473	2533	2593	2653	2712	2772	2832	2891	2951	3010	3070
8	2560	2632	2704	2776	2848	2920	2992	3063	3135	3207	3279	3350	3422	3494	3565	3637	3708
8.5	3018	3102	3187	3271	3355	3440	3524	3608	3692	3776	3860	3944	4028	4112	4196	4279	4363
9	3470	3566	3663	3760	3856	3953	4049	4145	4242	4338	4435	4530	4625	4719	4813	4896	4968
9.5	3901	4010	4118	4226	4334	4443	4551	4660	4765	4869	4973	5065	5145	5224	5304	5371	5428
10	4305	4424	4543	4663	4783	4899	5011	5123	5217	5303	5389	5463	5526	5590	5652	5703	5744
10.5	4685	4816	4946	5065	5185	5290	5382	5474	5549	5618	5687	5743	5790	5836	5882	5917	5942
11	5051	5176	5301	5398	5497	5582	5654	5729	5785	5836	5887	5926	5957	5987	6016	6034	6042
11.5	5365	5467	5570	5648	5727	5793	5847	5903	5942	5975	6009	6031	6044	6056	6067	6070	6070
12	5606	5688	5771	5830	5890	5937	5973	6011	6032	6048	6063	6070	6070	6070	6070	6070	6070
12.5	5789	5852	5915	5955	5996	6025	6043	6063	6068	6069	6070	6070	6070	6070	6070	6070	6070
13	5922	5965	6009	6031	6054	6066	6067	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
13.5	6010	6036	6061	6065	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
14	6059	6065	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
14.5	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
15	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
15.5	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
16	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
16.5	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
17	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
17.5	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
18	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
18.5	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
19	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070	6070
19.5	6026	6026	6026	6026	6026	6026	6026	6026	6026	6026	6026	6026	6026	6026	6026	6026	6026
20	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865	5865
